"state","puma","sex","age","educ","income","latino","black","asian","married","divorced","uscitizen","children","disability","militaryservice","employed","englishability","fips"
13,1101,0,20,11,3300,0,0,0,0,0,1,0,0,0,1,1,13121
13,1101,0,59,14,35000,0,0,0,1,0,1,0,0,0,1,1,13121
13,1101,1,39,15,0,0,0,0,1,0,0,1,0,0,0,1,13121
13,1101,0,31,13,65000,0,0,0,1,0,1,0,1,0,1,1,13121
13,1101,1,30,13,20000,0,0,0,1,0,1,0,1,0,1,1,13121
13,1101,0,39,14,85100,1,0,0,0,0,0,0,0,0,1,1,13121
13,1101,1,33,13,60000,0,0,0,0,0,1,0,0,0,1,1,13121
13,1101,1,53,15,0,0,0,0,1,0,0,0,1,0,0,1,13121
13,1101,1,62,11,0,0,0,0,1,0,0,0,0,0,0,1,13121
13,1101,1,41,8,6000,0,0,1,1,0,0,1,0,0,1,0,13121
13,1101,0,42,9,186400,0,0,0,1,0,1,0,0,0,1,1,13121
13,1101,1,41,11,0,0,0,0,1,0,1,1,0,0,0,1,13121
13,1101,1,37,10,51000,1,1,0,0,1,1,1,0,1,1,1,13121
13,1101,1,30,14,2400,0,0,1,1,0,0,0,0,0,0,1,13121
13,1102,1,27,13,26000,0,0,1,1,0,0,0,0,0,1,1,13121
13,1102,1,38,13,316100,0,0,0,0,1,1,0,0,0,1,1,13121
13,1102,0,35,6,11700,1,0,0,0,0,0,0,0,0,0,0,13121
13,1102,0,42,13,75000,0,0,1,1,0,0,0,0,0,1,0,13121
13,1102,1,26,13,0,0,0,0,0,0,0,0,0,0,0,1,13121
13,1102,0,36,9,41600,0,0,0,1,0,0,0,0,0,1,0,13121
13,1102,0,42,8,0,1,0,0,0,0,0,0,0,0,1,1,13121
13,1102,0,38,10,154800,1,0,0,1,0,0,0,0,0,1,0,13121
13,1102,1,36,13,1e+05,0,0,0,0,1,1,1,1,0,1,1,13121
13,1102,0,26,14,50000,0,0,1,0,0,0,0,0,0,1,1,13121
13,1102,1,22,7,0,1,0,0,1,0,0,1,0,0,1,1,13121
13,1102,1,47,8,17000,0,0,1,0,1,0,0,0,0,1,0,13121
13,1102,0,43,9,35000,1,0,0,1,0,0,0,0,0,1,0,13121
13,1102,0,19,8,16000,1,0,0,0,0,0,0,0,0,1,1,13121
13,1102,1,34,13,60000,0,0,0,0,0,1,0,0,0,1,1,13121
13,1102,0,37,13,121000,0,0,0,1,0,1,0,0,0,1,1,13121
13,1102,0,50,15,263000,0,0,0,1,0,1,0,0,0,1,1,13121
13,1102,1,23,8,15600,1,0,0,1,0,0,1,0,0,1,0,13121
13,1102,0,30,5,0,1,0,0,1,0,0,0,0,0,0,0,13121
13,1102,1,45,13,139000,0,0,0,1,0,1,1,0,0,0,1,13121
13,1102,1,53,3,0,1,0,0,1,0,0,0,1,0,0,0,13121
13,1102,0,51,3,15000,1,0,0,1,0,0,0,0,0,1,0,13121
13,1102,1,38,8,60000,0,0,0,1,0,1,1,0,0,1,1,13121
13,1102,1,25,14,4000,0,0,1,1,0,0,0,0,0,1,1,13121
13,1102,1,42,5,10000,1,0,0,1,0,0,1,0,0,1,0,13121
13,1102,1,44,10,0,0,0,0,1,0,1,1,0,0,0,1,13121
13,1102,0,30,9,0,1,0,0,1,0,0,0,0,0,1,0,13121
13,1102,1,34,16,85000,0,0,0,1,0,0,1,1,0,1,1,13121
13,1102,1,38,13,31500,0,0,0,0,0,1,0,0,0,1,1,13121
13,1102,1,35,11,0,1,0,0,1,0,0,1,0,0,0,0,13121
13,1102,0,44,11,50000,1,1,0,1,0,1,0,0,0,1,1,13121
13,1102,0,44,6,41000,0,0,0,1,0,0,0,1,0,1,1,13121
13,1102,0,41,8,12000,1,0,0,0,1,0,0,0,0,0,1,13121
13,1102,1,20,1,4400,1,0,0,1,0,0,0,0,0,1,0,13121
13,1102,0,37,13,15000,0,0,0,1,0,0,0,0,0,1,0,13121
13,1103,1,22,13,10000,0,0,0,0,0,1,0,0,0,1,1,13121
